Entropy / confidence summary for next-character prediction
=========================================================

Total sampled contexts: 2000

Most confident contexts (lowest entropy):
  ctx=' \nBY WESTERN PUBLISHING COMPANY, INC. \nS CONTENTS \nWUMELC REATIO'  entropy=0.0000  top='N'  P(top)=1.0000
  ctx=' ............ 108 \nTHE DocTors WEDDING ......... 129 \n8 FRANKENS'  entropy=0.0099  top='T'  P(top)=0.9987
  ctx='s 36 \nREVENGE eter Ie Pe Renee ee a \nTHE-HORRIBLE TRUTH.........'  entropy=0.0103  top=' '  P(top)=0.9987
  ctx='IFE ............ 108 \nTHE DocTors WEDDING ......... 129 \n8 FRANK'  entropy=0.0108  top='E'  P(top)=0.9988
  ctx='WIFE ............ 108 \nTHE DocTors WEDDING ......... 129 \n8 FRAN'  entropy=0.0144  top='K'  P(top)=0.9983
  ctx=' 36 \nREVENGE eter Ie Pe Renee ee a \nTHE-HORRIBLE TRUTH.........'  entropy=0.0145  top=' '  P(top)=0.9981
  ctx='N po ieee le) \n ; CopyRiGHT 1968 BY DALE CARLSON. \nPRINTED IN TH'  entropy=0.0199  top='E'  P(top)=0.9975
  ctx=' le) \n ; CopyRiGHT 1968 BY DALE CARLSON. \nPRINTED IN THE U.S.A.'  entropy=0.0313  top=' '  P(top)=0.9955
  ctx='le) \n ; CopyRiGHT 1968 BY DALE CARLSON. \nPRINTED IN THE U.S.A.'  entropy=0.0313  top=' '  P(top)=0.9955
  ctx='HE MONSTERS WIFE ............ 108 \nTHE DocTors WEDDING .........'  entropy=0.0329  top=' '  P(top)=0.9953
  ctx='e le) \n ; CopyRiGHT 1968 BY DALE CARLSON. \nPRINTED IN THE U.S.A.'  entropy=0.0329  top=' '  P(top)=0.9953
  ctx='h over the roofs of Ingol- \nstadt, Germany, Dr. Victor Frankenst'  entropy=0.0338  top='e'  P(top)=0.9958
  ctx='ocTors WEDDING ......... 129 \n8 FRANKENSTEIN \n31 c- \nThe Creatio'  entropy=0.0429  top='n'  P(top)=0.9945
